DPA; DESCC
2101;SANDINO
2102;MANTUA
2103;MINAS DE MATAHAMBRE
2104;VINALES
2105;LA PALMA
2106;LOS PALACIOS
2107;CONSOLACION DEL SUR
2108;PINAR DEL RIO
2109;SAN LUIS
2110;SAN JUAN Y MARTINEZ
2111;GUANE
2201;BAHIA HONDA
2202;MARIEL
2203;GUANAJAY
2204;CAIMITO
2205;BAUTA
2206;SAN ANTONIO DE LOS BANOS
2207;GUIRA DE MELENA
2208;ALQUIZAR
2209;ARTEMISA
2210;CANDELARIA
2211;SAN CRISTOBAL
2301;PLAYA
2302;PLAZA DE LA REVOLUCION
2303;CENTRO HABANA
2304;LA HABANA VIEJA
2305;REGLA
2306;LA HABANA DEL ESTE
2307;GUANABACOA
2308;SAN MIGUEL DEL PADRON
2309;DIEZ DE OCTUBRE
2310;CERRO
2311;MARIANAO
2312;LA LISA
2313;BOYEROS
2314;ARROYO NARANJO
2315;COTORRO
2401;BEJUCAL
2402;SAN JOSE DE LAS LAJAS
2403;JARUCO
2404;SANTA CRUZ DEL NORTE
2405;MADRUGA
2406;NUEVA PAZ
2407;SAN NICOLAS
2408;GUINES
2409;MELENA DEL SUR
2410;BATABANO
2411;QUIVICAN
2501;MATANZAS
2502;CARDENAS 
2503;MARTI
2504;COLON
2505;PERICO
2506;JOVELLANOS
2507;PEDRO BETANCOURT
2508;LIMONAR
2509;UNION DE REYES
2510;CIENAGA DE ZAPATA
2511;JAGUEY GRANDE
2512;CALIMETE
2513;LOS ARABOS
2601;CORRALILLO
2602;QUEMADO DE GUINES
2603;SAGUA LA GRANDE
2604;ENCRUCIJADA
2605;CAMAJUANI
2606;CAIBARIEN
2607;REMEDIOS
2608;PLACETAS
2609;SANTA CLARA
2610;CIFUENTES
2611;SANTO DOMINGO
2612;RANCHUELO
2613;MANICARAGUA
2701;AGUADA DE PASAJEROS
2702;RODAS
2703;PALMIRA
2704;LAJAS
2705;CRUCES
2706;CUMANAYAGUA
2707;CIENFUEGOS
2708;ABREUS
2801;YAGUAJAY
2802;JATIBONICO
2803;TAGUASCO
2804;CABAIGUAN
2805;FOMENTO
2806;TRINIDAD
2807;SANCTI SPIRITUS
2808;LA SIERPE
2901;CHAMBAS
2902;MORON
2903;BOLIVIA
2904;PRIMERO DE ENERO
2905;CIRO REDONDO
2906;FLORENCIA
2907;MAJAGUA
2908;CIEGO DE AVILA
2909;VENEZUELA
2910;BARAGUA
3001;CARLOS MANUEL DE CESPEDES
3002;ESMERALDA
3003;SIERRA DE CUBITAS
3004;MINAS
3005;NUEVITAS
3006;GUAIMARO
3007;SIBANICU
3008;CAMAGUEY
3009;FLORIDA
3010;VERTIENTES
3011;JIMAGUAYU
3012;NAJASA
3013;SANTA CRUZ DEL SUR
3101;MANATI
3102;PUERTO PADRE
3103;JESUS MENENDEZ
3104;MAJIBACOA
3105;LAS TUNAS
3106;JOBABO
3107;COLOMBIA
3108;AMANCIO
3201;GIBARA
3202;RAFAEL FREYRE
3203;BANES
3204;ANTILLA
3205;BAGUANOS
3206;HOLGUIN
3207;CALIXTO GARCIA
3208;CACOCUM
3209;URBANO NORIS
3210;CUETO
3211;MAYARI
3212;FRANK PAIS
3213;SAGUA DE TANAMO
3214;MOA
3301;RIO CAUTO
3302;CAUTO CRISTO
3303;JIGUANI
3304;BAYAMO
3305;YARA
3306;MANZANILLO
3307;CAMPECHUELA
3308;MEDIA LUNA
3309;NIQUERO
3310;PILON
3311;BARTOLOME MASO
3312;BUEY ARRIBA
3313;GUISA
3401;CONTRAMAESTRE
3402;MELLA
3403;SAN LUIS
3404;SEGUNDO FRENTE
3405;SONGO - LA MAYA
3406;SANTIAGO DE CUBA
3407;PALMA SORIANO
3408;TERCER FRENTE
3409;GUAMA
3501;EL SALVADOR
3502;MANUEL TAMES
3503;YATERAS
3504;BARACOA
3505;MAISI
3506;IMIAS
3507;SAN ANTONIO DEL SUR
3508;CAIMANERA
3509;GUANTANAMO
3510;NICETO PEREZ
4001;ISLA DE LA JUVENTUD
