,,,PARTE DIARIO OLPP,,,,,,,,
,,,CONSUMO ENERGIA ELECTRICA (KWh),,,,,,,,
,,,,,,,,,,,
,ACUMULADO HASTA:,,,,1/6/2013,,,,,,
,CODCLI,RUTA-FOLIO,NOMBRE DEL SERVICIO SERVICIOS,MUNICIPIO,PLAN ,PLAN DIA,CONSUMO DEL DIA,CONSUMO ACUMULADO,%(DIARIO),%(ACUMULADO),
,1,,2,3,4,5,6,7,6/5,7/4,
1,212,A04361,MNHN,HAB VIEJA,23500,758.1,142.0,3263.0,0.19,0.14,
2,632,I33040,OFIC AMA,PLAYA,8000,266.7,142.0,1549.0,0.53,0.19,
3,2458,D10200,IES COLECCIONES,BOYEROS,5000,166.7,100.0,1134.0,0.60,0.23,
4,2459,D10250,IES HERBARIO,BOYEROS,2100,70.0,50.0,375.0,0.71,0.18,
5,2460,D1300,IES BOLERA,BOYEROS,1700,56.7,20.0,244.0,0.35,0.14,
6,588,D1350,IES EDIFICIO,BOYEROS,1700,56.7,40.0,286.0,0.71,0.17,
7,770,R11240,IDO ( EDIF CENTRAL),PLAYA,1500,50.0,50.0,340.0,1.00,0.23,
8,Y13186,R27040,IDO (GEOMANTICA),PLAYA,2000,66.7,3.0,28.0,0.05,0.01,
9,Y14201,R2002,IDO - ANEXO,PLAYA,2000,66.7,8.0,90.0,0.12,0.05,
10,P34604,Q48941,IGT F # 302,PLAZA,1700,56.7,20.0,136.0,0.35,0.08,
11,P34348,Q33035,IGT # 304,PLAZA,1500,50.0,5.0,90.0,0.10,0.06,
12,P44252,I20170,IGT 13 # 409,PLAZA,2500,83.3,52.0,452.0,0.62,0.18,
13,900,E21300,ACUARIO V,PLAYA,60000,2000.0,1194.0,7304.0,0.60,0.12,
14,901,E21200,ACUARIO N,PLAYA,70500,2350.0,1687.0,10529.0,0.72,0.15,
15,LO4282,B58200,IGA (Casa Central),PLAYA,300,10.0,20.0,232.0,2.00,0.77,
16,LO4280,B58180,IGA (Carpintería),PLAYA,1900,63.3,10.0,596.0,0.16,0.31,
17,LO4103,B51028,IGA (Centro Cálculo),PLAYA,1900,63.3,10.0,390.0,0.16,0.21,
18,LO4281,B58190,IGA (Sismología),PLAYA,200,6.7,0.0,6.0,0.00,0.03,
19,LO4104,B51032,IGA (Astronomía),PLAYA,3400,113.3,20.0,634.0,0.18,0.19,
20,B39365,B45903,IGA (EST STGO VEGAS),BOYEROS,1900,63.3,5.0,64.0,0.08,0.03,
21,P66159,H05400,CEBIMAR,PLAZA,3000,100.0,50.0,448.0,0.50,0.15,
22,1249,O10800,INSMET (SEDE CENTRAL),REGLA,39200,1306.7,1213.0,7619.0,0.93,0.19,
23,B53585,B10037,INSMET (Est Met STGO VEGAS),BOYEROS,300,10.0,10.0,66.0,1.00,0.22,
24,H15191,K53881,INSMET (Galiano - Bibiloteca ),PLAZA,200,6.7,2.0,11.0,0.30,0.06,
25,P22968,K63431,INSMET (CALLE 23 - 200),PLAZA,100,3.3,3.0,14.0,0.90,0.14,
26,P22969,Q33035,INSMET (CALLE 23 - 100),PLAZA,200,6.7,2.0,12.0,0.30,0.06,
27,363,T20079,CGDC,CTRO HABANA,7300,243.3,58.0,811.0,0.24,0.11,
28,7850,W20092,INIMET (Consulado),CTRO HABANA,8812,293.7,200.0,1264.0,0.68,0.14,
29,7849,W20202,INIMET (Industria),CTRO HABANA,3663,122.1,75.0,440.0,0.61,0.12,
30,C54382,E53500,INIMET (CERRO),CERRO,800,26.7,10.0,119.0,0.38,0.15,
31,Y78985,K54565,INIMET (MIRAMAR),PLAYA,350,11.7,5.0,29.0,0.43,0.08,
32,P38815,S42315,OFIC ONN ( EDIF CENTRAL),PLAZA,5900,196.7,80.0,800.0,0.41,0.14,
