,,,PARTE DIARIO OLPP,,,,,,,,
,,,CONSUMO ENERGIA ELECTRICA (KWh),,,,,,,,
,,,,,,,,,,,
ACUMULADO HASTA:,,,10/30/2013,,,,,,,,
,CODCLI,RUTA-FOLIO,NOMBRE DEL SERVICIO SERVICIOS,MUNICIPIO,PLAN ,PLAN DIA,CONSUMO DEL DIA ,CONSUMO ACUMULADO,%(DIARIO),%(ACUMULADO),
,1,,2,3,4,5,6,7,6/5,7/4,
1,212,A04361,MNHN,HAB VIEJA,35000,1129.0,1000.0,33034.0,0.89,0.94,
2,632,I33040,OFIC AMA,PLAYA,13900,448.4,650.0,14860.0,1.45,1.07,
3,2458,D10200,IES COLECCIONES,BOYEROS,9000,290.3,230.0,7995.0,0.79,0.89,
4,2459,D10250,IES HERBARIO,BOYEROS,4000,129.0,56.0,2855.0,0.43,0.71,
5,2460,D1300,IES BOLERA,BOYEROS,3100,100.0,88.0,2020.0,0.88,0.65,
6,588,D1350,IES EDIFICIO,BOYEROS,7000,225.8,103.0,2354.0,0.46,0.34,
7,770,R11240,IDO ( EDIF CENTRAL),PLAYA,5170,166.8,210.0,4648.0,1.26,0.90,
8,Y13186,R27040,IDO (GEOMANTICA),PLAYA,30,1.0,0.0,35.0,0.00,1.17,
9,Y14201,R2002,IDO - ANEXO,PLAYA,500,16.1,18.0,322.0,1.12,0.64,
10,P34604,Q48941,IGT F # 302,PLAZA,1200,38.7,18.0,1386.0,0.47,1.16,
11,P34348,Q33035,IGT # 304,PLAZA,500,16.1,49.0,796.0,3.04,1.59,
12,P44252,I20170,IGT 13 # 409,PLAZA,5500,177.4,49.0,4973.0,0.28,0.90,
13,900,E21300,ACUARIO V,PLAYA,52600,1696.8,1425.0,40274.0,0.84,0.77,
14,901,E21200,ACUARIO N,PLAYA,70000,2258.1,1949.0,58044.0,0.86,0.83,
15,LO4282,B58200,IGA (Casa Central),PLAYA,300,9.7,65.0,1893.0,6.72,6.31,
16,LO4280,B58180,IGA (Carpintería),PLAYA,2800,90.3,40.0,779.0,0.44,0.28,
17,LO4103,B51028,IGA (Centro Cálculo),PLAYA,2200,71.0,59.0,1527.0,0.83,0.69,
18,LO4281,B58190,IGA (Sismología),PLAYA,350,11.3,20.0,333.0,1.77,0.95,
19,LO4104,B51032,IGA (Astronomía),PLAYA,3600,116.1,54.0,1579.0,0.47,0.44,
20,B39365,B45903,IGA (EST CACAHUAL),BOYEROS,2200,71.0,7.0,275.0,0.10,0.13,
21,P66159,H05400,CEBIMAR,PLAZA,2945,95.0,120.0,3095.0,1.26,1.05,
22,1249,O10800,INSMET (SEDE CENTRAL),REGLA,57500,1854.8,1779.0,46463.0,0.96,0.81,
23,B53585,B10037,INSMET (Est Met STGO VEGAS),BOYEROS,500,16.1,14.0,422.0,0.87,0.84,
24,H15191,K53881,INSMET (Galiano - Bibiloteca ),PLAZA,200,6.5,6.0,91.0,0.93,0.46,
25,P22968,K63431,INSMET (CALLE 23 - 200),PLAZA,100,3.2,4.0,79.0,1.24,0.79,
26,P22969,Q33035,INSMET (CALLE 23 - 100),PLAZA,100,3.2,8.0,137.0,2.48,1.37,
27,363,T20079,CGDC,CTRO HABANA,9300,300.0,294.0,8120.0,0.98,0.87,
28,7850,W20092,INIMET (Consulado),CTRO HABANA,16820,542.6,553.0,13660.0,1.02,0.81,
29,7849,W20202,INIMET (Industria),CTRO HABANA,7030,226.8,213.0,6078.0,0.94,0.86,
30,C54382,E53500,INIMET (CERRO),CERRO,1550,50.0,59.0,1119.0,1.18,0.72,
31,Y78985,K54565,INIMET (MIRAMAR),PLAYA,380,12.3,12.0,300.0,0.98,0.79,
32,P38815,S42315,OFIC ONN ( EDIF CENTRAL),PLAZA,6720,216.8,234.0,7073.0,1.08,1.05,
