,,,PARTE DIARIO OLPP,,,,,,,,
,,,CONSUMO ENERGIA ELECTRICA (KWh),,,,,,,,
,,,,,,,,,,,
,ACUMULADO HASTA:,,,,11/3/2013,,,,,,
,CODCLI,RUTA-FOLIO,NOMBRE DEL SERVICIO SERVICIOS,MUNICIPIO,PLAN ,PLAN DIA,"CONSUMO DEL DIA (Temp máx:30,6°)",CONSUMO ACUMULADO,%(DIARIO),%(ACUMULADO),
,1,,2,3,4,5,6,7,6/5,7/4,
1,212,A04361,MNHN,HAB VIEJA,30000,1000.0,436.0,2624.0,0.44,0.09,
2,632,I33040,OFIC AMA,PLAYA,11000,366.7,103.0,761.0,0.28,0.07,
3,2458,D10200,IES COLECCIONES,BOYEROS,9000,300.0,150.0,630.0,0.50,0.07,
4,2459,D10250,IES HERBARIO,BOYEROS,4000,133.3,100.0,477.0,0.75,0.12,
5,2460,D1300,IES BOLERA,BOYEROS,3100,103.3,15.0,133.0,0.15,0.04,
6,588,D1350,IES EDIFICIO,BOYEROS,8000,266.7,25.0,155.0,0.09,0.02,
7,770,R11240,IDO ( EDIF CENTRAL),PLAYA,4970,165.7,50.0,369.0,0.30,0.07,
8,Y13186,R27040,IDO (GEOMANTICA),PLAYA,30,1.0,0.0,2.0,0.00,0.07,
9,Y14201,R2002,IDO - ANEXO,PLAYA,500,16.7,4.0,19.0,0.24,0.04,
10,P34604,Q48941,IGT F # 302,PLAZA,1200,40.0,14.0,89.0,0.35,0.07,
11,P34348,Q33035,IGT # 304,PLAZA,500,16.7,15.0,70.0,0.90,0.14,
12,P44252,I20170,IGT 13 # 409,PLAZA,5500,183.3,127.0,652.0,0.69,0.12,
13,900,E21300,ACUARIO V,PLAYA,48100,1603.3,1217.0,3860.0,0.76,0.08,
14,901,E21200,ACUARIO N,PLAYA,68000,2266.7,1812.0,5737.0,0.80,0.08,
15,LO4282,B58200,IGA (Casa Central),PLAYA,2300,76.7,70.0,210.0,0.91,0.09,
16,LO4280,B58180,IGA (Carpintería),PLAYA,2800,93.3,50.0,150.0,0.54,0.05,
17,LO4103,B51028,IGA (Centro Cálculo),PLAYA,2300,76.7,50.0,150.0,0.65,0.07,
18,LO4281,B58190,IGA (Sismología),PLAYA,350,11.7,5.0,33.0,0.43,0.09,
19,LO4104,B51032,IGA (Astronomía),PLAYA,3600,120.0,70.0,210.0,0.58,0.06,
20,B39365,B45903,IGA (EST CACAHUAL),BOYEROS,300,10.0,6.0,22.0,0.60,0.07,
21,P66159,H05400,CEBIMAR,PLAZA,3145,104.8,88.0,352.0,0.84,0.11,
22,1249,O10800,INSMET (SEDE CENTRAL),REGLA,51150,1705.0,1700.0,5300.0,1.00,0.10,
23,B53585,B10037,INSMET (Est Met STGO VEGAS),BOYEROS,700,23.3,10.0,34.0,0.43,0.05,
24,H15191,K53881,INSMET (Galiano - Bibiloteca ),PLAZA,200,6.7,2.0,6.0,0.30,0.03,
25,P22968,K63431,INSMET (CALLE 23 - 200),PLAZA,100,3.3,2.0,6.0,0.60,0.06,
26,P22969,Q33035,INSMET (CALLE 23 - 100),PLAZA,200,6.7,1.0,3.0,0.15,0.02,
27,363,T20079,CGDC,CTRO HABANA,9300,310.0,37.0,430.0,0.12,0.05,
28,7850,W20092,INIMET (Consulado),CTRO HABANA,15600,520.0,200.0,903.0,0.38,0.06,
29,7849,W20202,INIMET (Industria),CTRO HABANA,5605,186.8,100.0,425.0,0.54,0.08,
30,C54382,E53500,INIMET (CERRO),CERRO,1600,53.3,15.0,64.0,0.28,0.04,
31,Y78985,K54565,INIMET (MIRAMAR),PLAYA,400,13.3,5.0,26.0,0.38,0.07,
32,P38815,S42315,OFIC ONN ( EDIF CENTRAL),PLAZA,8300,276.7,120.0,480.0,0.43,0.06,
