,,,PARTE DIARIO OLPP,,,,,,,,
,,,CONSUMO ENERGIA ELECTRICA (KWh),,,,,,,,
,,,,,,,,,,,
,ACUMULADO HASTA:,,,,1/3/2013,,,,,,
,CODCLI,RUTA-FOLIO,NOMBRE DEL SERVICIO SERVICIOS,MUNICIPIO,PLAN ,PLAN DIA,CONSUMO DEL DIA,CONSUMO ACUMULADO,%(DIARIO),%(ACUMULADO),
,1,,2,3,4,5,6,7,6/5,7/4,
1,212,A04361,MNHN,HAB VIEJA,23500,758.1,234.0,1877.0,0.31,0.08,
2,632,I33040,OFIC AMA,PLAYA,11000,366.7,77.0,468.0,0.21,0.04,
3,2458,D10200,IES COLECCIONES,BOYEROS,6300,210.0,100.0,470.0,0.48,0.07,
4,2459,D10250,IES HERBARIO,BOYEROS,2200,73.3,40.0,185.0,0.55,0.08,
5,2460,D1300,IES BOLERA,BOYEROS,2100,70.0,20.0,114.0,0.29,0.05,
6,588,D1350,IES EDIFICIO,BOYEROS,2100,70.0,20.0,119.0,0.29,0.06,
7,770,R11240,IDO ( EDIF CENTRAL),PLAYA,2100,70.0,50.0,270.0,0.71,0.13,
8,Y13186,R27040,IDO (GEOMANTICA),PLAYA,1400,46.7,1.0,6.0,0.02,0.00,
9,Y14201,R2002,IDO - ANEXO,PLAYA,1800,60.0,5.0,21.0,0.08,0.01,
10,P34604,Q48941,IGT F # 302,PLAZA,1950,65.0,10.0,60.0,0.15,0.03,
11,P34348,Q33035,IGT # 304,PLAZA,1550,51.7,10.0,60.0,0.19,0.04,
12,P44252,I20170,IGT 13 # 409,PLAZA,3200,106.7,75.0,275.0,0.70,0.09,
13,900,E21300,ACUARIO V,PLAYA,50000,1666.7,1081.0,3361.0,0.65,0.07,
14,901,E21200,ACUARIO N,PLAYA,74000,2466.7,1616.0,4961.0,0.66,0.07,
15,LO4282,B58200,IGA (Casa Central),PLAYA,300,10.0,10.0,80.0,1.00,0.27,
16,LO4280,B58180,IGA (Carpintería),PLAYA,1900,63.3,30.0,130.0,0.47,0.07,
17,LO4103,B51028,IGA (Centro Cálculo),PLAYA,1900,63.3,15.0,80.0,0.24,0.04,
18,LO4281,B58190,IGA (Sismología),PLAYA,200,6.7,0.0,1.0,0.00,0.01,
19,LO4104,B51032,IGA (Astronomía),PLAYA,3400,113.3,50.0,180.0,0.44,0.05,
20,B39365,B45903,IGA (EST STGO VEGAS),BOYEROS,1900,63.3,3.0,14.0,0.05,0.01,
21,P66159,H05400,CEBIMAR,PLAZA,2700,90.0,78.0,234.0,0.87,0.09,
22,1249,O10800,INSMET (SEDE CENTRAL),REGLA,40330,1344.3,944.0,3591.0,0.70,0.09,
23,B53585,B10037,INSMET (Est Met STGO VEGAS),BOYEROS,200,6.7,10.0,34.0,1.50,0.17,
24,H15191,K53881,INSMET (Galiano - Bibiloteca ),PLAZA,200,6.7,2.0,6.0,0.30,0.03,
25,P22968,K63431,INSMET (CALLE 23 - 200),PLAZA,100,3.3,2.0,6.0,0.60,0.06,
26,P22969,Q33035,INSMET (CALLE 23 - 100),PLAZA,100,3.3,2.0,6.0,0.60,0.06,
27,363,T20079,CGDC,CTRO HABANA,6200,206.7,50.0,330.0,0.24,0.05,
28,7850,W20092,INIMET (Consulado),CTRO HABANA,11500,383.3,100.0,586.0,0.26,0.05,
29,7849,W20202,INIMET (Industria),CTRO HABANA,4145,138.2,50.0,206.0,0.36,0.05,
30,C54382,E53500,INIMET (CERRO),CERRO,1000,33.3,10.0,55.0,0.30,0.06,
31,Y78985,K54565,INIMET (MIRAMAR),PLAYA,350,11.7,4.0,24.0,0.34,0.07,
32,P38815,S42315,OFIC ONN ( EDIF CENTRAL),PLAZA,5900,196.7,80.0,320.0,0.41,0.05,
