,,,PARTE DIARIO OLPP,,,,,,,,
,,,CONSUMO ENERGIA ELECTRICA (KWh),,,,,,,,
,,,,,,,,,,,
,ACUMULADO HASTA:,,,,3/4/2013,,,,,,
,CODCLI,RUTA-FOLIO,NOMBRE DEL SERVICIO SERVICIOS,MUNICIPIO,PLAN ,PLAN DIA,CONSUMO DEL DIA,CONSUMO ACUMULADO,%(DIARIO),%(ACUMULADO),
,1,,2,3,4,5,6,7,6/5,7/4,
1,212,A04361,MNHN,HAB VIEJA,26000,838.7,462.0,1550.0,0.55,0.06,
2,632,I33040,OFIC AMA,PLAYA,11800,393.3,280.0,785.0,0.71,0.07,
3,2458,D10200,IES COLECCIONES,BOYEROS,7100,236.7,550.0,1583.0,2.32,0.22,
4,2459,D10250,IES HERBARIO,BOYEROS,3700,123.3,180.0,525.0,1.46,0.14,
5,2460,D1300,IES BOLERA,BOYEROS,2200,73.3,80.0,289.0,1.09,0.13,
6,588,D1350,IES EDIFICIO,BOYEROS,2500,83.3,80.0,406.0,0.96,0.16,
7,770,R11240,IDO ( EDIF CENTRAL),PLAYA,4770,159.0,137.0,519.0,0.86,0.11,
8,Y13186,R27040,IDO (GEOMANTICA),PLAYA,130,4.3,1.0,3.0,0.23,0.02,
9,Y14201,R2002,IDO - ANEXO,PLAYA,300,10.0,7.0,19.0,0.70,0.06,
10,P34604,Q48941,IGT F # 302,PLAZA,1500,50.0,36.0,79.0,0.72,0.05,
11,P34348,Q33035,IGT # 304,PLAZA,1200,40.0,31.0,76.0,0.78,0.06,
12,P44252,I20170,IGT 13 # 409,PLAZA,4200,140.0,113.0,341.0,0.81,0.08,
13,900,E21300,ACUARIO V,PLAYA,39200,1306.7,950.0,4032.0,0.73,0.10,
14,901,E21200,ACUARIO N,PLAYA,70700,2356.7,1456.0,6806.0,0.62,0.10,
15,LO4282,B58200,IGA (Casa Central),PLAYA,300,10.0,44.0,120.0,4.40,0.40,
16,LO4280,B58180,IGA (Carpintería),PLAYA,2600,86.7,82.0,134.0,0.95,0.05,
17,LO4103,B51028,IGA (Centro Cálculo),PLAYA,2300,76.7,37.0,89.0,0.48,0.04,
18,LO4281,B58190,IGA (Sismología),PLAYA,200,6.7,0.0,1.0,0.00,0.01,
19,LO4104,B51032,IGA (Astronomía),PLAYA,3500,116.7,37.0,95.0,0.32,0.03,
20,B39365,B45903,IGA (EST CACAHUAL),BOYEROS,2300,76.7,10.0,39.0,0.13,0.02,
21,P66159,H05400,CEBIMAR,PLAZA,3100,103.3,78.0,354.0,0.75,0.11,
22,1249,O10800,INSMET (SEDE CENTRAL),REGLA,45750,1525.0,1206.0,4423.0,0.79,0.10,
23,B53585,B10037,INSMET (Est Met STGO VEGAS),BOYEROS,200,6.7,13.0,52.0,1.95,0.26,
24,H15191,K53881,INSMET (Galiano - Bibiloteca ),PLAZA,200,6.7,2.0,8.0,0.30,0.04,
25,P22968,K63431,INSMET (CALLE 23 - 200),PLAZA,200,6.7,2.0,8.0,0.30,0.04,
26,P22969,Q33035,INSMET (CALLE 23 - 100),PLAZA,100,3.3,2.0,8.0,0.60,0.08,
27,363,T20079,CGDC,CTRO HABANA,7800,260.0,401.0,661.0,1.54,0.08,
28,7850,W20092,INIMET (Consulado),CTRO HABANA,12000,400.0,247.0,814.0,0.62,0.07,
29,7849,W20202,INIMET (Industria),CTRO HABANA,5820,194.0,99.0,275.0,0.51,0.05,
30,C54382,E53500,INIMET (CERRO),CERRO,980,32.7,21.0,82.0,0.64,0.08,
31,Y78985,K54565,INIMET (MIRAMAR),PLAYA,360,12.0,10.0,33.0,0.83,0.09,
32,P38815,S42315,OFIC ONN ( EDIF CENTRAL),PLAZA,5900,196.7,240.0,810.0,1.22,0.14,
