,,,PARTE DIARIO OLPP,,,,,,,,
,,,CONSUMO ENERGIA ELECTRICA (KWh),,,,,,,,
,,,,,,,,,,,
,ACUMULADO HASTA:,,,,3/26/2013,,,,,,
,CODCLI,RUTA-FOLIO,NOMBRE DEL SERVICIO SERVICIOS,MUNICIPIO,PLAN ,PLAN DIA,CONSUMO DEL DIA,CONSUMO ACUMULADO,%(DIARIO),%(ACUMULADO),
,1,,2,3,4,5,6,7,6/5,7/4,
1,212,A04361,MNHN,HAB VIEJA,26000,838.7,459.0,26784.0,0.55,1.03,
2,632,I33040,OFIC AMA,PLAYA,11800,393.3,117.0,11175.0,0.30,0.95,
3,2458,D10200,IES COLECCIONES,BOYEROS,7100,236.7,25.0,6357.0,0.11,0.90,
4,2459,D10250,IES HERBARIO,BOYEROS,3700,123.3,170.0,4260.0,1.38,1.15,
5,2460,D1300,IES BOLERA,BOYEROS,2200,73.3,70.0,1638.0,0.95,0.74,
6,588,D1350,IES EDIFICIO,BOYEROS,2500,83.3,100.0,2447.0,1.20,0.98,
7,770,R11240,IDO ( EDIF CENTRAL),PLAYA,4770,159.0,50.0,4218.0,0.31,0.88,
8,Y13186,R27040,IDO (GEOMANTICA),PLAYA,130,4.3,1.0,70.0,0.23,0.54,
9,Y14201,R2002,IDO - ANEXO,PLAYA,300,10.0,4.0,148.0,0.40,0.49,
10,P34604,Q48941,IGT F # 302,PLAZA,1500,50.0,10.0,1122.0,0.20,0.75,
11,P34348,Q33035,IGT # 304,PLAZA,1200,40.0,9.0,569.0,0.23,0.47,
12,P44252,I20170,IGT 13 # 409,PLAZA,4200,140.0,60.0,2967.0,0.43,0.71,
13,900,E21300,ACUARIO V,PLAYA,39200,1306.7,1392.0,36706.0,1.07,0.94,
14,901,E21200,ACUARIO N,PLAYA,70700,2356.7,2014.0,52387.0,0.85,0.74,
15,LO4282,B58200,IGA (Casa Central),PLAYA,2300,76.7,30.0,1290.0,0.39,0.56,
16,LO4280,B58180,IGA (Carpintería),PLAYA,2600,86.7,25.0,2708.0,0.29,1.04,
17,LO4103,B51028,IGA (Centro Cálculo),PLAYA,2300,76.7,25.0,1356.0,0.33,0.59,
18,LO4281,B58190,IGA (Sismología),PLAYA,200,6.7,1.0,17.0,0.15,0.09,
19,LO4104,B51032,IGA (Astronomía),PLAYA,3500,116.7,25.0,2226.0,0.21,0.64,
20,B39365,B45903,IGA (EST CACAHUAL),BOYEROS,300,10.0,6.0,212.0,0.60,0.71,
21,P66159,H05400,CEBIMAR,PLAZA,3100,103.3,0.0,2641.0,0.00,0.85,
22,1249,O10800,INSMET (SEDE CENTRAL),REGLA,45750,1525.0,1481.0,41249.0,0.97,0.90,
23,B53585,B10037,INSMET (Est Met STGO VEGAS),BOYEROS,200,6.7,12.0,345.0,1.80,1.73,
24,H15191,K53881,INSMET (Galiano - Bibiloteca ),PLAZA,200,6.7,2.0,52.0,0.30,0.26,
25,P22968,K63431,INSMET (CALLE 23 - 200),PLAZA,200,6.7,2.0,52.0,0.30,0.26,
26,P22969,Q33035,INSMET (CALLE 23 - 100),PLAZA,100,3.3,2.0,52.0,0.60,0.52,
27,363,T20079,CGDC,CTRO HABANA,7800,260.0,50.0,5857.0,0.19,0.75,
28,7850,W20092,INIMET (Consulado),CTRO HABANA,12000,400.0,200.0,10506.0,0.50,0.88,
29,7849,W20202,INIMET (Industria),CTRO HABANA,5820,194.0,150.0,6372.0,0.77,1.09,
30,C54382,E53500,INIMET (CERRO),CERRO,980,32.7,10.0,711.0,0.31,0.73,
31,Y78985,K54565,INIMET (MIRAMAR),PLAYA,360,12.0,5.0,256.0,0.42,0.71,
32,P38815,S42315,OFIC ONN ( EDIF CENTRAL),PLAZA,5900,196.7,80.0,5224.0,0.41,0.89,
