,,,PARTE DIARIO OLPP,,,,,,,,
,,,CONSUMO ENERGIA ELECTRICA (KWh),,,,,,,,
,,,,,,,,,,,
,ACUMULADO HASTA:,,,,5/30/2013,,,,,,
,CODCLI,RUTA-FOLIO,NOMBRE DEL SERVICIO SERVICIOS,MUNICIPIO,PLAN ,PLAN DIA,CONSUMO DEL DIA,CONSUMO ACUMULADO,%(DIARIO),%(ACUMULADO),
,1,,2,3,4,5,6,7,6/5,7/4,
1,212,A04361,MNHN,HAB VIEJA,38000,1225.8,1401.0,31963.0,1.14,0.84,
2,632,I33040,OFIC AMA,PLAYA,14000,466.7,485.0,13360.0,1.04,0.95,
3,2458,D10200,IES COLECCIONES,BOYEROS,7000,233.3,222.0,7379.0,0.95,1.05,
4,2459,D10250,IES HERBARIO,BOYEROS,4000,133.3,252.0,5138.0,1.89,1.28,
5,2460,D1300,IES BOLERA,BOYEROS,2542,84.7,90.0,1831.0,1.06,0.72,
6,588,D1350,IES EDIFICIO,BOYEROS,2700,90.0,121.0,2896.0,1.34,1.07,
7,770,R11240,IDO ( EDIF CENTRAL),PLAYA,5400,180.0,205.0,5070.0,1.14,0.94,
8,Y13186,R27040,IDO (GEOMANTICA),PLAYA,100,3.3,3.0,81.0,0.90,0.81,
9,Y14201,R2002,IDO - ANEXO,PLAYA,200,6.7,6.0,169.0,0.90,0.85,
10,P34604,Q48941,IGT F # 302,PLAZA,1500,50.0,55.0,1332.0,1.10,0.89,
11,P34348,Q33035,IGT # 304,PLAZA,1200,40.0,29.0,667.0,0.73,0.56,
12,P44252,I20170,IGT 13 # 409,PLAZA,4500,150.0,237.0,3627.0,1.58,0.81,
13,900,E21300,ACUARIO V,PLAYA,50000,1666.7,1368.0,42300.0,0.82,0.85,
14,901,E21200,ACUARIO N,PLAYA,74000,2466.7,2184.0,59760.0,0.89,0.81,
15,LO4282,B58200,IGA (Casa Central),PLAYA,2200,73.3,84.0,1833.0,1.15,0.83,
16,LO4280,B58180,IGA (Carpintería),PLAYA,2700,90.0,83.0,3184.0,0.92,1.18,
17,LO4103,B51028,IGA (Centro Cálculo),PLAYA,2400,80.0,39.0,1597.0,0.49,0.67,
18,LO4281,B58190,IGA (Sismología),PLAYA,300,10.0,1.0,20.0,0.10,0.07,
19,LO4104,B51032,IGA (Astronomía),PLAYA,3600,120.0,44.0,2460.0,0.37,0.68,
20,B39365,B45903,IGA (EST CACAHUAL),BOYEROS,300,10.0,8.0,263.0,0.80,0.88,
21,P66159,H05400,CEBIMAR,PLAZA,3200,106.7,45.0,2984.0,0.42,0.93,
22,1249,O10800,INSMET (SEDE CENTRAL),REGLA,53700,1790.0,1790.0,48517.0,1.00,0.90,
23,B53585,B10037,INSMET (Est Met STGO VEGAS),BOYEROS,700,23.3,18.0,403.0,0.77,0.58,
24,H15191,K53881,INSMET (Galiano - Bibiloteca ),PLAZA,300,10.0,2.0,60.0,0.20,0.20,
25,P22968,K63431,INSMET (CALLE 23 - 200),PLAZA,200,6.7,2.0,60.0,0.30,0.30,
26,P22969,Q33035,INSMET (CALLE 23 - 100),PLAZA,10,0.3,2.0,60.0,6.00,6.00,
27,363,T20079,CGDC,CTRO HABANA,9300,310.0,367.0,7135.0,1.18,0.77,
28,7850,W20092,INIMET (Consulado),CTRO HABANA,15270,509.0,546.0,12750.0,1.07,0.83,
29,7849,W20202,INIMET (Industria),CTRO HABANA,7150,238.3,229.0,7372.0,0.96,1.03,
30,C54382,E53500,INIMET (CERRO),CERRO,1700,56.7,45.0,882.0,0.79,0.52,
31,Y78985,K54565,INIMET (MIRAMAR),PLAYA,420,14.0,15.0,308.0,1.07,0.73,
32,P38815,S42315,OFIC ONN ( EDIF CENTRAL),PLAZA,6200,206.7,240.0,6264.0,1.16,1.01,
