,,,PARTE DIARIO OLPP,,,,,,,,
,,,CONSUMO ENERGIA ELECTRICA (KWh),,,,,,,,
,,,,,,,,,,,
,ACUMULADO HASTA:,,,,7/8/2013,,,,,,
,CODCLI,RUTA-FOLIO,NOMBRE DEL SERVICIO SERVICIOS,MUNICIPIO,PLAN ,PLAN DIA,"CONSUMO DEL DIA (Temp máx:30,6°)",CONSUMO ACUMULADO,%(DIARIO),%(ACUMULADO),
,1,,2,3,4,5,6,7,6/5,7/4,
1,212,A04361,MNHN,HAB VIEJA,50200,1619.4,1689.0,11793.0,1.04,0.23,
2,632,I33040,OFIC AMA,PLAYA,14900,480.6,602.0,4060.0,1.25,0.27,
3,2458,D10200,IES COLECCIONES,BOYEROS,8000,258.1,284.0,1886.0,1.10,0.24,
4,2459,D10250,IES HERBARIO,BOYEROS,4000,129.0,212.0,1256.0,1.64,0.31,
5,2460,D1300,IES BOLERA,BOYEROS,3100,100.0,80.0,494.0,0.80,0.16,
6,588,D1350,IES EDIFICIO,BOYEROS,4000,129.0,81.0,528.0,0.63,0.13,
7,770,R11240,IDO ( EDIF CENTRAL),PLAYA,5300,171.0,107.0,1094.0,0.63,0.21,
8,Y13186,R27040,IDO (GEOMANTICA),PLAYA,100,3.2,0.0,7.0,0.00,0.07,
9,Y14201,R2002,IDO - ANEXO,PLAYA,200,6.5,0.0,110.0,0.00,0.55,
10,P34604,Q48941,IGT F # 302,PLAZA,1500,48.4,32.0,265.0,0.66,0.18,
11,P34348,Q33035,IGT # 304,PLAZA,1200,38.7,36.0,254.0,0.93,0.21,
12,P44252,I20170,IGT 13 # 409,PLAZA,4500,145.2,173.0,1011.0,1.19,0.22,
13,900,E21300,ACUARIO V,PLAYA,53000,1709.7,1160.0,11507.0,0.68,0.22,
14,901,E21200,ACUARIO N,PLAYA,80000,2580.6,1608.0,15480.0,0.62,0.19,
15,LO4282,B58200,IGA (Casa Central),PLAYA,2700,87.1,60.0,419.0,0.69,0.16,
16,LO4280,B58180,IGA (Carpintería),PLAYA,3400,109.7,60.0,406.0,0.55,0.12,
17,LO4103,B51028,IGA (Centro Cálculo),PLAYA,2700,87.1,35.0,236.0,0.40,0.09,
18,LO4281,B58190,IGA (Sismología),PLAYA,200,6.5,2.0,25.0,0.31,0.13,
19,LO4104,B51032,IGA (Astronomía),PLAYA,3600,116.1,0.0,0.0,0.00,0.00,
20,B39365,B45903,IGA (EST CACAHUAL),BOYEROS,300,9.7,10.0,71.0,1.03,0.24,
21,P66159,H05400,CEBIMAR,PLAZA,4560,147.1,108.0,824.0,0.73,0.18,
22,1249,O10800,INSMET (SEDE CENTRAL),REGLA,56400,1819.4,1485.0,13155.0,0.82,0.23,
23,B53585,B10037,INSMET (Est Met STGO VEGAS),BOYEROS,600,19.4,12.0,227.0,0.62,0.38,
24,H15191,K53881,INSMET (Galiano - Bibiloteca ),PLAZA,200,6.5,2.0,16.0,0.31,0.08,
25,P22968,K63431,INSMET (CALLE 23 - 200),PLAZA,200,6.5,2.0,16.0,0.31,0.08,
26,P22969,Q33035,INSMET (CALLE 23 - 100),PLAZA,100,3.2,2.0,16.0,0.62,0.16,
27,363,T20079,CGDC,CTRO HABANA,9400,303.2,426.0,1928.0,1.40,0.21,
28,7850,W20092,INIMET (Consulado),CTRO HABANA,16000,516.1,531.0,3684.0,1.03,0.23,
29,7849,W20202,INIMET (Industria),CTRO HABANA,7860,253.5,308.0,1909.0,1.21,0.24,
30,C54382,E53500,INIMET (CERRO),CERRO,1400,45.2,27.0,294.0,0.60,0.21,
31,Y78985,K54565,INIMET (MIRAMAR),PLAYA,410,13.2,10.0,66.0,0.76,0.16,
32,P38815,S42315,OFIC ONN ( EDIF CENTRAL),PLAZA,6260,201.9,320.0,1840.0,1.58,0.29,
