CODPROV;CODCLI;CRF;CLIENTE;REEUP;TARIFA;;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;"TOTAL "
21;Eco_CODCLI;283880;Ecovida;211012122;;;854;882;879;1076;1137;1163;1258;747;1074;1147;1150;953;12320
21;203232;2108155250;"Museo Cienc";211009362;;;854;882;786;880;900;969;989;747;985;1366;958;754;11070
21;228109;2108811660;"Jardin Bot";211009362;;;760;789;832;929;758;785;809;509;716;774;910;715;9286
21;706759;2104170275;"Cent Vis";211009362;;;665;603;740;831;853;785;809;645;761;820;910;595;9016
21;I05706;2101111520;"Est Sandino";211012122;;;902;789;925;1467;900;785;854;747;877;911;862;715;10733
21;701385;2103291430;"Esc Esp";211012122;;;807;1021;925;831;900;1016;854;1018;1343;1002;958;715;11389
21;1967;2108251360;"Deleg Citma";211009362;;;5792;5617;5641;6064;5921;5770;5572;4136;5595;5691;5940;4843;66583
21;O55884;2108363740;"Taller Cienc";211009362;;;66;65;65;68;66;65;63;48;63;64;67;56;755
21;A21861;2105091920;"Ofic O Mont";211009362;;;114;111;111;117;114;111;108;81;107;109;115;95;1294
21;A21862;2105091914;"Tub O ,Mont";211009362;;;110;108;107;113;110;107;104;79;104;106;111;92;1251
21;3400083352;155350;"Ofic OTN";211009632;;;750;736;830;835;1179;1106;1076;842;799;974;1058;730;10915
21;20099314;563050;"Alm OTN";211009632;;;218;144;111;108;103;95;92;75;99;110;97;82;1334
21;Nod_CODCLI;Nod_CRF;"Nodo Citmatel";211012071;;;570;511;583;699;701;840;809;611;886;901;766;476;8354
21;228424;2108470210;"Archivo Prov";211009362;;;427;418;416;450;436;420;395;285;412;419;441;333;4852
21;W07956;2102190575;"Ofic Mantua";211009362;;;38;37;37;39;38;37;36;27;36;36;38;32;431
21;L24838;2106384225;"Ofic L Pal";211009362;;;38;37;37;39;38;37;36;27;36;36;38;32;431
21;Ofi_CODCLI;Ofi_CRF;"Ofic SJM";211009362;;;38;37;37;39;38;37;36;27;36;36;38;32;431
21;U24348;2110761150;"Est San Juan";211006749;;;380;371;370;391;379;369;359;272;358;364;383;318;4315
21;T01187;2103051018;"Est S Lucia";211006749;;;304;279;296;313;303;295;288;217;286;291;307;254;3433
21;P20529;2105319800;"Est La Palma";211006749;;;285;260;277;293;284;277;270;204;269;273;287;238;3217
21;B23895;2108140662;"Est P del Rio";211006749;;;427;371;416;411;426;388;404;275;403;410;402;357;4691
21;L11968;210665720;"Est Paso Real";211006749;;;646;613;629;665;644;628;611;448;609;619;652;540;7303
21;Y03150;2111230311;"Est I Rubio";211006749;;;285;241;277;274;284;259;270;204;269;273;268;238;3142
21;O51917;2108113100;"Cent Gestion";211006749;;;237;186;231;196;237;185;225;170;224;228;192;198;2507
22;O11717;2201487890;"EST MET B HONDA";211006749;;;570;557;555;587;568;554;539;407;537;546;575;476;6472
22;620151;2205030009;"EST MET BAUTA";211006749;;;570;557;555;587;568;554;539;407;537;546;575;476;6472
22;141676;2207240137;"EST MET GUIRA MELENA";211006749;;;760;743;740;782;758;739;719;543;716;728;766;635;8629
22;O08598;2209320130;"EST ECOVIDA";211012122;;;475;464;462;489;474;462;449;339;448;455;479;397;5393
22;O22505;2209329680;"SALON (ECOVIDA)";211012122;;;285;279;277;293;284;277;270;204;269;273;287;238;3236
22;D23094;2210172460;"EST SISM SOROA";211011962;;;427;418;416;440;426;415;404;305;403;410;431;357;4854
23;212;2304Q20087;MNHN;8140;;;22312;21818;24044;29341;36001;36929;45112;36659;35990;31870;28743;23818;372637
23;632;I133040;"Ofic AMA";11801;;;7595;7428;9248;9878;13074;13571;12491;8214;13160;12202;11497;9527;127886
23;2458;D10200;"CarrVarona Capdev km 3 1/2 ";6679;;;4747;5849;6566;6944;1990;1939;12042;5567;10743;12202;12839;10559;91986
23;2459;D10250;"CarrVarona Capdev km 3 1/2 ";6679;;;1994;2043;3422;3619;1137;1016;1258;1561;2686;2732;2874;3176;27516
23;2460;D10300;"CarrVarona Capdev km 3 1/2 ";6679;;;1614;1950;2034;2054;2937;2862;2966;2240;1611;4735;2970;2382;30355
23;588;D10350;"CarrVarona Capdev km 3 1/2 ";6679;;;1614;1950;2312;2445;1895;1846;1797;1358;8953;9106;9581;7939;50796
23;770;R11240;"Calle 1ra # 18606";6744;;;1424;1950;1017;2738;2842;2123;1797;1629;1791;1912;958;794;20977
23;Y13186;R27040;"Calle 1ra # 18606";6744;;;1899;1300;2127;1174;1895;1569;899;1018;1611;1821;1629;1191;18133
23;Y14201;R20002;"Calle 1ra # 18606";6744;;;1899;1671;1202;978;1895;1939;2516;1358;1343;1821;1341;1032;18995
23;P34604;Q48941;"Calle F # 302";6759;;;1614;1810;1803;1956;1895;1846;1797;1154;1746;1821;1916;1350;20709
23;P34348;Q33035;"Calle F # 302";6759;;;1424;1439;1433;1565;1516;1477;1438;984;1388;1457;1533;1191;16845
23;P44256;I20170;"Calle F # 302";6759;;;2374;2971;3144;3521;3411;3324;3235;1290;2865;3278;3449;1985;34846
23;900;E21300;"Acuario Viejo ";8078;;;56966;46422;36250;46554;47370;36929;47628;44127;44764;45529;47906;32551;532995
23;901;E21200;"Acuario Nuevo";8078;;;66935;68705;65380;63572;70108;64625;71892;48200;62669;72846;57487;47636;760054
23;L04282;B58200;"Calle 212# 2906";6740;;;285;279;277;293;284;277;270;204;269;273;287;238;3236
23;L04280;B58180;"Calle 212# 2906";6740;;;1804;1764;2404;2641;2558;3047;3055;1629;2596;2550;2683;2223;28954
23;L04103;B51028;"Calle 212# 2906";6740;;;1804;1764;2127;2347;2274;2400;2426;1290;2059;2094;2204;1826;24616
23;L04281;B58190;"Calle 212# 2906";6740;;;190;186;185;196;284;185;180;136;269;273;287;79;2449
23;L04104;B51032;"Calle 212# 2906";6740;;;3228;3157;3237;3423;3411;3324;3235;2444;3223;3278;3449;2858;38266
